gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,Yes,No,35,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),111.96207570411846,3918.672649644146,Yes
Female,1,No,Yes,27,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,59.70207616323108,1611.956056407239,No
Male,1,Yes,Yes,59,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,51.09048906812687,3014.3388550194854,Yes
Female,1,Yes,No,57,No,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,109.7426883596963,6255.333236502689,No
Male,1,No,Yes,18,No,No,No,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,46.136131179559435,830.4503612320698,No
Male,1,No,Yes,36,No,No,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.75130332733951,3087.0469197842226,No
Male,0,No,No,69,Yes,No phone service,No,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,107.28908592789534,7402.946929024779,Yes
Male,1,Yes,No,56,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),114.99410183392814,6439.6697026999755,Yes
Male,0,No,No,64,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,95.31868729299082,6100.395986751412,Yes
Male,1,Yes,Yes,26,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),36.02245672970523,936.583874972336,No
Female,0,No,No,57,Yes,No phone service,No,No,Yes,No,No,No,No,Two year,Yes,Mailed check,19.43220260029485,1107.6355482168065,No
Female,0,No,Yes,67,No,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),41.974822520138105,2812.313108849253,Yes
Female,0,Yes,Yes,48,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),51.7736116764262,2485.133360468458,No
Male,1,No,Yes,35,Yes,Yes,No,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,55.04731575677542,1926.6560514871396,Yes
Male,0,No,No,42,Yes,Yes,No,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),70.83820410853845,2975.204572558615,Yes
Male,1,No,No,33,Yes,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,39.70916549908347,1310.4024614697544,No
Male,0,No,Yes,42,No,No phone service,No,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,118.4021118218313,4972.888696516915,No
Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),38.17560943215257,1068.917064100272,Yes
Male,0,Yes,Yes,69,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),32.3141195389302,2229.674248186184,Yes
Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),35.10668920271324,1544.6943249193826,No
Male,1,Yes,No,66,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,85.99802701752472,5675.8697831566315,Yes
Male,1,No,No,31,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),94.21144092398727,2920.5546686436055,No
Female,0,No,Yes,68,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,118.07933517660314,8029.394792009013,Yes
Female,1,No,No,47,No,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),106.96888363265552,5027.5375307348095,Yes
Female,1,Yes,Yes,24,Yes,Yes,No,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),25.736973394028535,617.6873614566848,No
Male,1,Yes,Yes,71,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),113.62896272454337,8067.6563534425795,Yes
Female,1,Yes,Yes,45,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,88.05518937484837,3962.4835218681765,No
Female,0,No,Yes,24,No,No,No,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,54.89493548675815,1317.4784516821956,Yes
Female,1,No,Yes,45,Yes,No phone service,No,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,38.037580534975035,1711.6911240738766,Yes
Female,0,No,No,41,No,Yes,No,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),67.82732722466807,2780.9204162113906,No
Female,0,Yes,No,23,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,19.169361124143666,440.89530585530434,No
Female,1,Yes,No,46,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,31.729200587932517,1459.5432270448957,Yes
Female,0,Yes,Yes,47,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,81.72352948161557,3841.005885635932,Yes
Female,1,Yes,No,25,No,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,88.63435156822851,2215.8587892057126,No
Male,0,No,Yes,54,No,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),111.25268932321318,6007.645223453512,No
Female,1,No,No,68,No,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),85.59078644408797,5820.173478197982,No
Female,1,Yes,No,47,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),69.31061430508382,3257.5988723389396,Yes
Female,0,No,Yes,60,Yes,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,47.58964988230984,2855.3789929385907,Yes
Male,1,No,No,49,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,90.8828386766521,4453.259095155953,No
Female,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,57.94441826941854,3476.6650961651126,Yes
Male,1,Yes,Yes,49,Yes,No phone service,No,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),97.30960111031831,4768.170454405597,Yes
Female,1,Yes,Yes,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,36.679472827327615,806.9484022012075,Yes
Male,0,No,No,48,No,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,99.13393845785623,4758.429045977099,Yes
Male,1,No,No,23,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.4516956625356,2011.3890002383187,No
Male,0,Yes,Yes,46,Yes,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,91.09073539026745,4190.173827952303,No
Male,0,No,Yes,35,Yes,No phone service,No,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),82.25264669426123,2878.842634299143,Yes
Female,1,No,No,39,No,No,No,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),116.62073851785362,4548.208802196292,Yes
Female,1,No,No,44,Yes,No phone service,No,No,No,No,No,No,Yes,Two year,Yes,Electronic check,56.9513526921935,2505.8595184565143,No
Female,1,Yes,No,60,No,No phone service,No,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),31.43141489891162,1885.8848939346972,Yes
Female,0,Yes,No,47,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,43.963074096256435,2066.2644825240523,No
Female,1,Yes,Yes,62,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,101.79540202974106,6311.314925843945,No
Male,1,No,Yes,58,Yes,No phone service,No,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),43.250862354807666,2508.5500165788444,No
Female,1,Yes,Yes,21,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,78.38244959933775,1646.0314415860926,Yes
Female,0,No,No,58,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),105.17681643602977,6100.255353289726,Yes
Female,1,Yes,No,54,Yes,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.289780210658,4929.648131375532,No
Male,1,No,Yes,43,No,No phone service,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),34.82326603491889,1497.4004395015122,Yes
Female,1,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,107.88631981128734,5070.657031130505,Yes
Female,1,No,Yes,24,No,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,21.834973128307,524.039355079368,Yes
Female,0,Yes,Yes,65,No,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Mailed check,45.53569685129983,2959.820295334489,Yes
Female,1,Yes,Yes,24,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,38.41815925620979,922.035822149035,Yes
Female,1,No,Yes,38,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,81.36400223437995,3091.832084906438,Yes
Male,1,No,Yes,38,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),95.4290517799997,3626.3039676399885,Yes
Male,0,Yes,No,34,Yes,No phone service,No,No,No,No,No,No,No,One year,No,Electronic check,42.535664476986334,1446.2125922175353,Yes
Male,1,Yes,No,21,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),113.13903069724095,2375.91964464206,Yes
Male,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),69.70499331867825,4461.119572395408,Yes
Male,0,Yes,Yes,66,Yes,No phone service,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),62.582991782708206,4130.4774576587415,No
Female,0,Yes,No,47,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,112.50973967134324,5287.957764553133,No
Male,1,Yes,No,64,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),38.61362215344387,2471.2718178204077,Yes
Female,0,No,Yes,22,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,37.162577373895616,817.5767022257036,Yes
Female,1,No,Yes,32,No,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),22.14138209666719,708.5242270933501,No
Female,0,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),115.57660445310945,6009.983431561692,No
Female,0,No,Yes,28,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,86.74126274759791,2428.7553569327415,Yes
Male,1,Yes,No,29,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,63.55251093557838,1843.022817131773,Yes
Female,0,No,No,21,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,60.50198794474331,1270.5417468396095,No
Female,1,Yes,Yes,58,Yes,No phone service,No,Yes,No,No,No,No,No,One year,No,Mailed check,57.90319387570563,3358.3852447909267,No
Male,0,Yes,No,34,Yes,No,No,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),51.02198091571736,1734.74735113439,No
Female,1,No,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,71.42825566357928,4714.264873796233,Yes
Female,0,Yes,No,36,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,34.46891229757521,1240.8808427127076,No
Female,0,No,No,35,No,No phone service,No,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),93.78199882384683,3282.369958834639,No
Male,1,No,Yes,31,Yes,No,No,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,92.00080491690078,2852.024952423924,Yes
Male,1,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.64920181138667,4049.810888757947,Yes
Male,1,No,No,25,No,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,70.42469846046475,1760.6174615116188,Yes
Female,0,Yes,No,43,No,No phone service,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,110.89374799696293,4768.431163869406,Yes
Male,1,No,No,48,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.11808508511868,3845.6680840856966,No
Female,0,No,No,19,Yes,No phone service,No,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),57.47418601723786,1092.0095343275193,Yes
Male,0,Yes,Yes,26,No,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),81.0899513098096,2108.33873405505,Yes
Female,1,No,No,47,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),109.3667097528109,5140.235358382112,No
Male,0,No,Yes,22,Yes,Yes,No,No,No,Yes,No,No,No,One year,Yes,Electronic check,38.168755204497224,839.7126144989389,Yes
Male,0,Yes,Yes,54,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),110.83932200990535,5985.323388534889,No
Female,1,No,Yes,70,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,87.54818124358084,6128.372687050659,Yes
Female,1,No,No,23,No,Yes,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),93.6186169965226,2153.22819092002,No
Female,0,No,Yes,35,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,114.61520376800915,4011.5321318803203,No
Female,1,No,No,34,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,103.68408117710143,3525.258760021449,Yes
Female,1,Yes,Yes,63,No,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,90.08543040645966,5675.382115606959,Yes
Female,0,Yes,No,53,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),32.29577590263257,1711.6761228395262,No
Male,1,No,Yes,43,No,No,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,61.40203416243693,2640.2874689847877,Yes
Male,0,No,No,35,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,27.01109742956394,945.3884100347378,No
Female,1,No,No,44,Yes,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),93.7322349635342,4124.218338395504,No
Female,0,No,No,27,Yes,No phone service,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,98.60207662139197,2662.256068777583,Yes
Female,0,Yes,No,47,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),76.70103366727317,3604.948582361839,No
Male,1,Yes,Yes,53,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.94211209860938,1533.931941226297,No
Female,1,Yes,Yes,55,No,Yes,No,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),64.28155928292014,3535.485760560608,Yes
Female,0,No,Yes,70,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),114.94552352333952,8046.186646633766,No
Female,0,No,No,26,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),118.196922199363,3073.119977183438,Yes
Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,47.70526992846611,2576.0845761371697,No
Male,1,No,No,61,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,109.27036195723346,6665.4920793912415,No
Female,0,Yes,No,26,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),97.51981945367152,2535.5153057954594,Yes
Female,1,Yes,No,24,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,103.92790921478684,2494.269821154884,Yes
Female,1,Yes,No,19,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.24249481591502,1961.6074015023855,Yes
Female,1,Yes,No,69,No,Yes,No,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),33.53882601444616,2314.178994996785,Yes
Female,0,Yes,Yes,52,No,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Electronic check,85.56248265431763,4449.249098024517,No
Male,1,No,Yes,60,Yes,No,No,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,39.37629760426227,2362.577856255736,No
Male,1,No,No,44,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,40.254467409612474,1771.196566022949,No
Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),107.8621791982251,2157.2435839645022,Yes
Female,0,No,Yes,49,Yes,No,No,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),64.03106656345486,3137.522261609288,No
Male,0,Yes,Yes,24,No,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),52.41060445438322,1257.8545069051972,No
Female,1,No,Yes,21,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),111.37482922325046,2338.8714136882595,No
Female,0,Yes,Yes,65,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,116.4319369633617,7568.07590261851,Yes
Male,0,Yes,Yes,59,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),22.889660906563623,1350.4899934872537,No
Male,0,Yes,Yes,21,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),80.69124414946093,1694.5161271386794,No
Male,1,Yes,Yes,67,Yes,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),105.4859310618674,7067.557381145116,Yes
Male,0,No,No,64,Yes,No phone service,No,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),111.95080541630779,7164.851546643698,Yes
Female,0,No,Yes,66,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,75.2930349506637,4969.340306743804,No
Male,0,No,No,67,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),44.793547498665056,3001.167682410559,Yes
Male,0,No,Yes,70,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),104.63302915236088,7324.3120406652615,No
Female,0,Yes,No,45,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),32.08127317153038,1443.657292718867,No
Female,0,Yes,Yes,18,No,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),49.21846597612875,885.9323875703175,Yes
Male,1,No,No,52,Yes,No,No,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.72285056471847,5133.58822936536,Yes
Male,0,Yes,No,19,Yes,No,No,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),29.51228468988469,560.7334091078092,No
Female,1,No,No,37,Yes,No,No,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,70.3697335040953,2603.6801396515257,Yes
Female,0,Yes,No,30,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,98.32784427694527,2949.835328308358,Yes
